Ax1,Ay1,Az1,Gx1,Gy1,Gz1,Ax2,Ay2,Az2,Gx2,Gy2,Gz2,time
0.1867477294921875,0.04548983154296875,9.3852705078125,-2.33587786259542,-1.8244274809160306,0.3282442748091603,-0.031124621582031248,0.3184288208007812,9.157821350097656,-4.877862595419847,-0.4198473282442748,-0.3053435114503817,1588112012.9237397
0.22266075439453123,0.028730419921875,9.354145886230468,-2.3206106870229006,-1.633587786259542,0.26717557251908397,-0.24899697265624998,0.2657563842773437,9.062053283691405,-4.923664122137405,-0.6335877862595419,-0.4122137404580153,1588112012.9573731
0.21308394775390624,0.12689268798828124,9.258377819824219,-2.145038167938931,-1.534351145038168,0.42748091603053434,-0.33039982910156246,0.3064578125,9.121908325195312,-4.679389312977099,-0.6335877862595419,-0.2595419847328244,1588112012.9906466
0.3232172241210937,0.10773907470703124,9.325415466308593,-2.183206106870229,-1.4885496183206106,0.3816793893129771,-0.12449848632812499,0.296881005859375,9.09796630859375,-4.587786259541985,-0.31297709923664124,-0.3053435114503817,1588112013.023822
0.24660277099609373,0.03591302490234375,9.356540087890625,-2.1755725190839694,-1.4580152671755726,0.48091603053435117,-0.277727392578125,0.3591302490234375,9.145850341796875,-4.908396946564886,-0.8931297709923665,-0.4198473282442748,1588112013.0559616
0.22744915771484372,0.09337386474609374,9.323021264648437,-2.0,-1.6946564885496183,0.31297709923664124,-0.15322890625,0.30885201416015623,9.191340173339842,-4.641221374045801,-0.35877862595419846,-0.5801526717557252,1588112013.0860047
0.23702596435546874,-0.0047884033203125,9.380482104492186,-2.198473282442748,-1.9541984732824427,0.5419847328244275,-0.00718260498046875,0.3327940307617187,9.04050546875,-4.595419847328245,-0.29770992366412213,-0.08396946564885496,1588112013.1158242
0.26336218261718747,0.1149216796875,9.356540087890625,-2.3969465648854964,-1.5267175572519085,0.26717557251908397,-0.201112939453125,0.2346317626953125,9.050082275390624,-5.00763358778626,-0.20610687022900764,-0.6641221374045801,1588112013.1456504
0.258573779296875,0.09576806640624999,9.397241516113281,-2.2213740458015265,-1.7251908396946565,0.4351145038167939,0.05027823486328125,0.38786066894531246,9.126696728515624,-4.526717557251908,-0.6030534351145038,-0.48854961832061067,1588112013.1757917
0.28730419921875,0.076614453125,9.375693701171874,-2.4198473282442747,-1.6870229007633588,0.4198473282442748,-0.11252747802734374,0.38307226562499996,9.181763366699219,-4.67175572519084,-0.6641221374045801,-0.26717557251908397,1588112013.2227278
0.30885201416015623,-0.0143652099609375,9.363722692871093,-2.16793893129771,-1.7633587786259541,0.4122137404580153,0.24660277099609373,0.35194764404296874,9.023746057128905,-5.099236641221374,-0.648854961832061,-0.366412213740458,1588112013.25233
0.30406361083984373,-0.00718260498046875,9.30147344970703,-2.2748091603053435,-1.465648854961832,0.32061068702290074,-0.1484405029296875,0.4070142822265625,9.05965908203125,-4.656488549618321,-0.3816793893129771,-0.45038167938931295,1588112013.2820334
